Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Dominica,DMA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,465856509.2,459838287.5,498135805.8,527152405.8,547140004.6,589958895.4,644298345.4,703602022.9,700672753.1,713604580.4,726881582.9,732978353.2,738384723.4,785818476.7,772848193.7,801273366.8,760986203.8,797176307.9
Denmark,DNK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.57814E+11,1.6472E+11,1.65956E+11,1.77856E+11,1.85074E+11,2.02787E+11,2.12824E+11,2.26767E+11,2.228E+11,2.38548E+11,2.47352E+11,2.50525E+11,2.62368E+11,2.70331E+11,2.78823E+11,2.91427E+11,3.12938E+11,3.22751E+11
Dominican Republic,DOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,58504870831,62101731740,62403793304,65730876425,74168659265,83423569069,92017401083,96818008799,98479132969,1.07935E+11,1.13643E+11,1.18969E+11,1.26959E+11,1.38481E+11,1.49657E+11,1.61369E+11,1.7211E+11,1.88613E+11
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.66711E+11,2.86102E+11,3.12397E+11,3.34602E+11,3.65381E+11,3.82838E+11,4.06488E+11,4.2434E+11,4.34416E+11,4.553E+11,4.7829E+11,5.04037E+11,5.27243E+11,5.57632E+11,5.84448E+11,6.09746E+11,6.29413E+11,6.53772E+11
East Asia & Pacific (excluding high income),EAP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6.51355E+12,7.12327E+12,7.87349E+12,8.79257E+12,9.92225E+12,1.12898E+13,1.29574E+13,1.4295E+13,1.54712E+13,1.71535E+13,1.89573E+13,2.07584E+13,2.26218E+13,2.45821E+13,2.64433E+13,2.84186E+13,3.08178E+13,3.35428E+13
Early-demographic dividend,EAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.06083E+13,1.09964E+13,1.18017E+13,1.29319E+13,1.41548E+13,1.55749E+13,1.69998E+13,1.80721E+13,1.86537E+13,2.01305E+13,2.16144E+13,2.29789E+13,2.44312E+13,2.60757E+13,2.76652E+13,2.94706E+13,3.15349E+13,3.36988E+13
East Asia & Pacific,EAS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.24236E+13,1.33029E+13,1.42805E+13,1.5617E+13,1.71199E+13,1.89346E+13,2.10857E+13,2.26006E+13,2.36363E+13,2.58325E+13,2.79837E+13,3.01353E+13,3.24548E+13,3.46548E+13,3.68363E+13,3.91017E+13,4.1906E+13,4.5004E+13
Europe & Central Asia (excluding high income),ECA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.54204E+12,2.72273E+12,3.00306E+12,3.36898E+12,3.79249E+12,4.54317E+12,5.07963E+12,5.85191E+12,5.68536E+12,6.10016E+12,6.96656E+12,7.37827E+12,7.7167E+12,7.95421E+12,7.90956E+12,8.09893E+12,8.691E+12,9.16301E+12
Europe & Central Asia,ECS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.44051E+13,1.51236E+13,1.57275E+13,1.67483E+13,1.77114E+13,1.96618E+13,2.11452E+13,2.26895E+13,2.21531E+13,2.31671E+13,2.4824E+13,2.55729E+13,2.65997E+13,2.7417E+13,2.79981E+13,2.89669E+13,3.07768E+13,3.18845E+13
Ecuador,ECU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78914541215,83446872387,87310912327,97023632414,1.0534E+11,1.13306E+11,1.18898E+11,1.28917E+11,1.30635E+11,1.36816E+11,1.50664E+11,1.62217E+11,1.73229E+11,1.83194E+11,1.85336E+11,1.85065E+11,1.93049E+11,2.00474E+11
"Egypt, Arab Rep.",EGY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4.34905E+11,4.52344E+11,4.75458E+11,5.08238E+11,5.47505E+11,6.02677E+11,6.62731E+11,7.23972E+11,7.63584E+11,8.12243E+11,8.43842E+11,8.79172E+11,9.14152E+11,9.58607E+11,1.01122E+12,1.06671E+12,1.13243E+12,1.22166E+12
