Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,IND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2270.718563,2354.2651,2544.112251,2774.420858,3039.128698,3331.592127,3628.001338,3757.289184,4026.380833,4360.15405,4624.561404,4909.584076,5252.272397,5682.731285,6133.887015,6634.844574,7168.992484,7762.88177
Indonesia,IDN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4827.438785,5055.355834,5323.104507,5664.893913,6091.922453,6534.07551,7041.486994,7510.100118,7813.090106,8284.501294,8859.139998,9444.948401,10009.66548,10570.19504,11063.06221,11604.52525,12279.18328,13079.6193
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10713.58315,11528.77068,12611.46551,13355.14302,14045.20849,15023.08444,16501.97427,16681.79497,16791.05888,17767.50221,18400.90629,17149.73922,17202.3003,18101.7763,17817.63647,20150.32226,21011.28831,..
Iraq,IRQ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9861.520265,9055.551154,5999.130991,9255.53032,9738.639139,10840.81758,11098.13138,12040.24597,12287.72965,12884.90384,13693.97637,15320.88647,16133.56524,15950.19629,15981.31509,18085.87647,17519.05422,17435.85393
Ireland,IRL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,32546.09148,35212.09472,36237.77128,38669.20414,40437.77458,44204.9969,46759.71484,44283.73011,41621.71832,43295.01791,44855.3247,46256.56888,47897.29166,51067.97671,69056.04604,70522.22592,77596.35505,83203.39468
Israel,ISR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24918.00428,25224.87874,23821.5451,25224.36448,24831.44992,25678.71429,27487.84462,27433.06349,27501.29414,28861.93991,30539.96337,31693.91787,34145.7126,34212.94449,35436.81087,37463.19908,38866.1107,39919.16965
Italy,ITA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28045.44843,28736.57711,29164.59527,29527.79094,30130.64446,32419.93615,34108.20429,35523.27131,34610.03145,35155.66806,36598.01497,36486.29679,36314.6971,36194.87392,36909.32837,39178.4,41200.02872,41830.42633
Jamaica,JAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6495.147003,6684.32279,7014.854567,7257.340316,7508.988192,7918.879434,8206.866186,8257.870394,7920.231105,7853.974864,8112.12923,8170.129002,8306.755236,8473.743427,8595.88659,8763.300248,8974.33982,9326.664059
Japan,JPN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27472.54712,28160.10761,28924.68216,30348.04197,31663.4531,33090.19626,34501.50901,34798.7659,33198.61611,34986.99454,35774.69671,37191.38595,38974.07949,39179.15561,40396.24321,41118.07804,41958.96216,42797.45852
Jordan,JOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6142.842663,6476.612526,6724.043386,7300.219009,7879.095022,8443.677235,8983.913039,9369.884496,9471.843568,9306.488797,9235.879132,9151.732473,9093.010015,9123.978709,9089.006864,9092.954278,9241.513754,9478.904588
Kazakhstan,KAZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9200.784457,10261.83496,11386.11323,12726.39944,14268.33754,16101.83296,17801.14353,18519.2511,18392.88499,19685.35171,21276.93402,22407.98331,23823.88613,24924.37021,25123.31799,25314.86554,26490.84377,27879.75195
Kenya,KEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1722.772066,1712.506831,1747.464545,1835.481863,1950.28767,2081.164298,2221.122812,2207.642032,2235.680111,2385.992645,2515.927471,2610.737996,2740.02864,2867.10191,2988.073282,3121.830489,3258.154499,3467.556478
"Korea, Rep.",KOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19168.21512,20775.10514,21376.76617,22936.81163,24196.42385,25820.97163,27822.27653,28655.98352,28325.2093,30365.27837,31228.5107,32097.164,32615.77259,33587.5834,35760.73444,37142.8329,38824.11539,40111.77576
Kuwait,KWT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,55831.35461,57502.26456,67935.05515,75549.67174,83521.9999,88482.98358,91290.71514,89916.47335,79265.59307,73817.97698,78021.67168,80209.81453,78399.24717,76703.31167,75042.14197,75689.27575,71695.56421,72897.56235
Kyrgyz Republic,KGZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1759.989812,1771.185889,1910.77178,2074.835594,2111.757152,2219.185786,2449.999653,2681.893434,2746.972069,2733.079268,2920.60321,2921.603783,3232.128754,3356.983448,3453.360746,3567.812684,3733.606138,3884.708809
Lao PDR,LAO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2105.342745,2230.725003,2373.963598,2553.684695,2776.517672,3056.927319,3321.339336,3589.502001,3823.692269,4130.547187,4485.181127,4863.791732,5267.284644,5689.82855,6075.952799,6473.243696,6942.238417,7439.59936
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9018.397415,10052.62273,11010.88527,12199.16411,13836.84355,15745.10313,18127.15673,19466.14509,16924.03115,17587.34596,19789.4764,21291.1197,22692.85344,23844.22612,24830.93429,25875.98735,28115.34769,30304.8525
Lebanon,LBN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8632.385929,8654.47792,8672.163654,9091.163179,9366.765445,9688.656235,10860.92089,12102.83681,13286.61257,14111.19139,13841.53501,13610.88835,13309.01995,13049.03296,12695.41014,12693.56418,12813.86955,13081.10746
Lesotho,LSO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1377.59123,1413.615276,1514.086085,1590.942832,1705.716887,1837.356205,1980.900154,2155.306978,2215.177375,2378.563578,2578.639634,2767.67561,2857.768834,2972.012946,3062.068836,3170.578608,3132.495534,3219.457157
Liberia,LBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1063.610813,1094.849374,765.7607838,791.8993006,837.6613236,901.3154509,974.9193196,1021.823984,1041.945486,1078.946046,1154.40937,1234.280819,1329.049283,1328.913111,1309.269565,1269.886223,1293.415934,1308.629536
Libya,LBY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17230.91106,17060.31866,19326.376,20406.82756,23181.26796,25053.9574,26958.63336,27825.07083,27474.49038,28890.36545,11096.15636,25080.96838,21929.50351,16870.48513,15403.57322,14964.52288,19056.8043,20764.16414
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9451.636523,10494.35179,12067.65917,13031.50054,14526.0824,16484.59202,19095.43677,20744.12753,18145.85292,20039.01002,22823.91839,24645.56909,26680.03416,28156.13581,28823.81289,30334.19087,33314.74037,35461.3591
