Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PER,Peru,32416,Press Freedom Index,Total,9.5,10.25,40,33.33,28.25,37.38,26.25,20.88,30,NA,NA,31.87,31.7,31.21,29.99,NA,30.98,30.27
PHL,Philippines,32416,Press Freedom Index,Total,29,35.25,36.63,50,51,44.75,45,38.25,60,NA,NA,43.11,43.69,41.19,44.66,NA,41.08,42.53
POL,Poland,32416,Press Freedom Index,Total,7.8,6.17,6.83,12.5,14,18.5,9,9.5,8.88,NA,NA,13.11,11.03,12.71,23.89,NA,26.47,26.59
PRT,Portugal,32416,Press Freedom Index,Total,1.5,5.17,4.5,4.83,3,2,4,8,12.36,NA,NA,16.75,17.73,17.11,17.27,NA,15.77,14.17
QAT,Qatar,32416,Press Freedom Index,Total,,35,32.5,23,18,24,15.5,24,38,NA,NA,32.86,34.32,35.35,35.97,NA,39.83,40.16
ROU,Romania,32416,Press Freedom Index,Total,13.3,11.5,17.83,16.17,14,12.75,9,12.5,16,NA,NA,23.05,23.48,24.9,24.29,NA,24.46,23.65
RUS,Russian Federation,32416,Press Freedom Index,Total,48,49.5,51.38,48.67,52.5,56.9,47.5,60.88,49.9,NA,NA,43.42,42.78,44.97,49.03,NA,49.45,49.96
RWA,Rwanda,32416,Press Freedom Index,Total,37.5,34.25,37.25,38,41,58.88,50,64.67,81,NA,NA,55.46,56.57,56.57,54.61,NA,54.11,52.9
SAU,Saudi Arabia,32416,Press Freedom Index,Total,62.5,71.5,79.17,66,76,59.75,61.75,76.5,61.5,NA,NA,56.88,58.3,59.41,59.72,NA,66.02,63.13
SEN,Senegal,32416,Press Freedom Index,Total,14,14.5,21.5,19,17.5,25,19,22,25,NA,NA,26.19,,27.77,27.99,NA,26.72,25.61
SRB,Serbia,32416,Press Freedom Index,Total,20.8,21.33,20.13,14.83,11.5,21,13.5,15.5,23,NA,NA,26.59,25.05,27.66,27.6,NA,28.05,29.58
SYC,Seychelles,32416,Press Freedom Index,Total,20.8,26.75,23.5,17,24.5,33,15.5,16,18,NA,NA,29.19,31.68,31.55,30.6,NA,30.86,30.17
SLE,Sierra Leone,32416,Press Freedom Index,Total,24.5,23.5,24.5,39.5,26,39.5,27.75,34,24.25,NA,NA,26.35,28.23,28.47,29.94,NA,30.73,29.98
SGP,Singapore,32416,Press Freedom Index,Total,,47.33,57,50.67,51.5,56,49,45,47.5,NA,NA,43.43,44.29,45.87,52.96,NA,51.1,50.95
SVK,Slovak Republic,32416,Press Freedom Index,Total,,2.5,0.5,0.75,2.5,1,3,11,11.5,NA,NA,13.25,11.39,11.66,13.26,NA,15.51,20.26
SVN,Slovenia,32416,Press Freedom Index,Total,4,3,2.25,1,3,6.5,7.33,9.5,13.44,NA,NA,20.49,20.38,20.55,22.26,NA,21.7,21.69
ZAF,South Africa,32416,Press Freedom Index,Total,7.5,3.33,5,6.5,11.25,13,8,8.5,12,NA,NA,24.56,23.19,22.06,21.92,NA,20.12,20.39
ESP,Spain,32416,Press Freedom Index,Total,7.8,7.67,9,84,10,10.25,8,11,12.25,NA,NA,20.5,20.63,19.95,19.92,NA,18.69,20.51
LKA,Sri Lanka,32416,Press Freedom Index,Total,15.8,24.83,36.5,33.25,50.75,67.5,78,75,62.5,NA,NA,56.59,59.13,60.28,44.96,NA,44.34,41.37
SDN,Sudan,32416,Press Freedom Index,Total,36,45.75,44.25,44,48.13,55.75,42,54,85.33,NA,NA,70.06,71.88,72.34,72.53,NA,73.56,71.13
SWE,Sweden,32416,Press Freedom Index,Total,1.5,1.5,2,2,4,1.5,3,0,0,NA,NA,9.23,8.98,9.47,12.33,NA,8.27,8.31
CHE,Switzerland,32416,Press Freedom Index,Total,4.3,2.5,0.5,0.5,2.5,3,3,1,0,NA,NA,9.94,10.47,13.85,11.76,NA,12.13,11.27
TJK,Tajikistan,32416,Press Freedom Index,Total,28.3,34.5,27.75,33,30,37,25.5,32,34.5,NA,NA,35.71,34.86,36.19,50.34,NA,50.27,50.06
TZA,Tanzania,32416,Press Freedom Index,Total,21.3,16.5,14.5,17.5,19.82,18,15,15.5,13,NA,NA,27.34,27.3,28.09,28.65,NA,30.65,30.65
THA,Thailand,32416,Press Freedom Index,Total,22.8,19.67,14,28,33.5,53.5,34.5,44,56.83,NA,NA,38.6,37.94,40.07,44.53,NA,44.69,44.31
TLS,Timor-Leste,32416,Press Freedom Index,Total,,,,,,27,13.75,16,25,NA,NA,28.72,29.04,32.63,32.02,NA,32.82,30.81
